workload,layer_idx,layer_name,dataflow,mem_layout,combo_label,array_size,spad_depth,data_width,n_mem_ports,off_chip_accesses,cycles,speedup,throughput_gops,energy_normalized,energy_pJ
EfficientDet-Lite0,3,edet_lat,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,55296.0,25621,0.006440029663166934,1.2789508606221459e-07,1.0,34078720.0
EfficientDet-Lite0,3,edet_lat,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,63037.439999999995,25621,0.006440029663166934,1.2789508606221459e-07,1.14,38734560.0
EfficientDet-Lite0,4,edet_p5,OS,ROW_MAJOR,OS-RM,16,16384,16,4,109655.04,613,1.0,2.4054812398042413e-05,1.18,109583520.0
EfficientDet-Lite0,4,edet_p5,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,104079.36000000002,613,1.0,2.4054812398042413e-05,1.12,104198560.0
EfficientDet-Lite0,4,edet_p5,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,92928.0,613,1.0,2.4054812398042413e-05,1.0,93429760.0
EfficientDet-Lite0,4,edet_p5,IS,ROW_MAJOR,IS-RM,16,16384,16,4,92928.0,4713,0.13006577551453427,3.12870782940802e-06,1.0,93429760.0
EfficientDet-Lite0,4,edet_p5,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,102220.8,4713,0.13006577551453427,3.12870782940802e-06,1.1,102403760.0
EfficientDet-Lite0,4,edet_p5,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,113372.16,4713,0.13006577551453427,3.12870782940802e-06,1.22,113173120.0
EfficientDet-Lite0,4,edet_p5,WS,ROW_MAJOR,WS-RM,16,16384,16,4,111513.59999999999,6693,0.09158822650530404,2.2031376064545047e-06,1.2,111378320.0
EfficientDet-Lite0,4,edet_p5,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,92928.0,6693,0.09158822650530404,2.2031376064545047e-06,1.0,93429760.0
EfficientDet-Lite0,4,edet_p5,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,105937.91999999998,6693,0.09158822650530404,2.2031376064545047e-06,1.14,105993360.0
