workload,layer_idx,layer_name,dataflow,mem_layout,combo_label,array_size,spad_depth,data_width,n_mem_ports,off_chip_accesses,cycles,speedup,throughput_gops,energy_normalized,energy_pJ
BERT-Large,2,bert_ffn2,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,485621.75999999995,132101,0.008031733294978843,5.080117788661706e-07,1.14,518835136.0
BERT-Large,3,bert_qkv,OS,ROW_MAJOR,OS-RM,16,65536,16,4,154664.96,293,1.0,5.72601228668942e-05,1.18,134112624.0
BERT-Large,3,bert_qkv,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,146800.64,293,1.0,5.72601228668942e-05,1.12,127506304.0
BERT-Large,3,bert_qkv,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,131072.0,293,1.0,5.72601228668942e-05,1.0,114294784.0
BERT-Large,3,bert_qkv,IS,ROW_MAJOR,IS-RM,16,65536,16,4,131072.0,4229,0.06928351856230787,3.967182785528494e-06,1.0,114294784.0
BERT-Large,3,bert_qkv,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,144179.2,4229,0.06928351856230787,3.967182785528494e-06,1.1,125304384.0
BERT-Large,3,bert_qkv,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,159907.84,4229,0.06928351856230787,3.967182785528494e-06,1.22,138516464.0
BERT-Large,3,bert_qkv,WS,ROW_MAJOR,WS-RM,16,65536,16,4,157286.4,33029,0.00887099215840625,5.079541009415968e-07,1.2,136314544.0
BERT-Large,3,bert_qkv,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,131072.0,33029,0.00887099215840625,5.079541009415968e-07,1.0,114294784.0
BERT-Large,3,bert_qkv,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,149422.08,33029,0.00887099215840625,5.079541009415968e-07,1.14,129708784.0
BERT-Large,4,bert_out,OS,ROW_MAJOR,OS-RM,16,65536,16,4,154664.96,293,1.0,5.72601228668942e-05,1.18,134112624.0
BERT-Large,4,bert_out,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,146800.64,293,1.0,5.72601228668942e-05,1.12,127506304.0
BERT-Large,4,bert_out,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,131072.0,293,1.0,5.72601228668942e-05,1.0,114294784.0
BERT-Large,4,bert_out,IS,ROW_MAJOR,IS-RM,16,65536,16,4,131072.0,4229,0.06928351856230787,3.967182785528494e-06,1.0,114294784.0
BERT-Large,4,bert_out,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,144179.2,4229,0.06928351856230787,3.967182785528494e-06,1.1,125304384.0
BERT-Large,4,bert_out,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,159907.84,4229,0.06928351856230787,3.967182785528494e-06,1.22,138516464.0
BERT-Large,4,bert_out,WS,ROW_MAJOR,WS-RM,16,65536,16,4,157286.4,33029,0.00887099215840625,5.079541009415968e-07,1.2,136314544.0
